cdrd_label,n_cases,raw_mean,structured_mean,delta_structured_minus_raw,ci95_low,ci95_high,bootstrap_iters,notes
overall,200,0.8889,0.9503,0.0614,0.0352,0.0891,10000,paired case bootstrap over human clamped accuracies
cdrd_entity,85,0.7887,0.9146,0.1259,0.0728,0.1807,10000,paired case bootstrap over human clamped accuracies
cdrd_polyphone,35,0.9914,0.9854,-0.006,-0.0204,0.0057,10000,paired case bootstrap over human clamped accuracies
non_cdrd,80,0.9505,0.9729,0.0224,-0.0024,0.056,10000,paired case bootstrap over human clamped accuracies
